Dispatch_Date,Aggravated Assault Firearm,Aggravated Assault No Firearm,All Other Offenses,Burglary Non-Residential,Burglary Residential,DRIVING UNDER THE INFLUENCE,Disorderly Conduct,Fraud,Motor Vehicle Theft,Narcotic / Drug Law Violations,Other Assaults,Other Sex Offenses (Not Commercialized),Rape,Recovered Stolen Motor Vehicle,Robbery Firearm,Robbery No Firearm,Theft from Vehicle,Thefts,Vandalism/Criminal Mischief,Weapon Violations
2006-01-01,4.0,11.0,41.0,1.0,12.0,15.0,12.0,1.0,8.0,11.0,27.0,1.0,2.0,10.0,4.0,5.0,22.0,16.0,48.0,4.0
2006-01-02,3.0,5.0,77.0,8.0,16.0,6.0,1.0,4.0,8.0,9.0,25.0,1.0,,15.0,4.0,6.0,15.0,20.0,26.0,1.0
2006-01-03,5.0,1.0,55.0,2.0,11.0,,4.0,12.0,13.0,16.0,34.0,2.0,2.0,15.0,15.0,9.0,12.0,27.0,27.0,6.0
2006-01-04,4.0,7.0,55.0,3.0,18.0,2.0,10.0,20.0,6.0,26.0,35.0,4.0,4.0,13.0,6.0,6.0,23.0,31.0,23.0,4.0
2006-01-05,3.0,4.0,56.0,,8.0,3.0,4.0,11.0,5.0,23.0,34.0,7.0,2.0,13.0,5.0,8.0,23.0,16.0,21.0,4.0
2006-01-06,3.0,6.0,42.0,5.0,5.0,6.0,2.0,14.0,5.0,15.0,36.0,1.0,1.0,18.0,3.0,9.0,16.0,27.0,28.0,1.0
2006-01-07,,13.0,73.0,2.0,6.0,1.0,2.0,7.0,6.0,12.0,25.0,2.0,1.0,7.0,5.0,5.0,20.0,26.0,20.0,2.0
2006-01-08,1.0,1.0,128.0,1.0,9.0,13.0,4.0,3.0,6.0,8.0,27.0,1.0,2.0,17.0,9.0,4.0,18.0,13.0,30.0,1.0
2006-01-09,4.0,7.0,34.0,2.0,8.0,4.0,1.0,17.0,11.0,8.0,27.0,2.0,2.0,18.0,8.0,8.0,22.0,23.0,20.0,8.0
2006-01-10,14.0,3.0,48.0,4.0,14.0,5.0,1.0,12.0,8.0,18.0,20.0,,,16.0,3.0,4.0,15.0,19.0,24.0,7.0
2006-01-11,3.0,3.0,61.0,5.0,12.0,6.0,4.0,18.0,6.0,17.0,27.0,2.0,2.0,15.0,3.0,7.0,22.0,26.0,19.0,7.0
2006-01-12,2.0,2.0,66.0,2.0,11.0,4.0,9.0,17.0,8.0,22.0,22.0,1.0,2.0,27.0,4.0,6.0,16.0,27.0,17.0,4.0
2006-01-13,2.0,13.0,33.0,2.0,13.0,4.0,7.0,14.0,8.0,14.0,33.0,4.0,4.0,15.0,4.0,7.0,14.0,20.0,26.0,3.0
2006-01-14,6.0,13.0,56.0,6.0,8.0,2.0,5.0,9.0,12.0,4.0,22.0,1.0,2.0,7.0,7.0,9.0,14.0,17.0,19.0,4.0
2006-01-15,8.0,6.0,36.0,2.0,7.0,6.0,1.0,2.0,6.0,5.0,23.0,,1.0,8.0,8.0,8.0,9.0,11.0,28.0,
2006-01-16,5.0,5.0,102.0,5.0,10.0,4.0,1.0,6.0,8.0,6.0,21.0,5.0,,16.0,4.0,9.0,32.0,30.0,32.0,
2006-01-17,4.0,2.0,74.0,5.0,12.0,2.0,4.0,14.0,7.0,23.0,18.0,,5.0,20.0,5.0,4.0,21.0,30.0,20.0,2.0
2006-01-18,3.0,8.0,56.0,6.0,13.0,3.0,,6.0,8.0,22.0,31.0,1.0,,15.0,4.0,5.0,29.0,16.0,37.0,5.0
2006-01-19,5.0,9.0,83.0,1.0,9.0,9.0,4.0,14.0,15.0,22.0,27.0,1.0,,15.0,7.0,5.0,25.0,17.0,18.0,7.0
2006-01-20,8.0,6.0,51.0,1.0,8.0,6.0,8.0,15.0,8.0,21.0,30.0,2.0,,11.0,5.0,3.0,24.0,25.0,28.0,9.0
2006-01-21,4.0,13.0,61.0,2.0,13.0,8.0,12.0,12.0,4.0,17.0,23.0,,1.0,10.0,5.0,5.0,29.0,23.0,41.0,1.0
2006-01-22,7.0,8.0,64.0,,7.0,11.0,5.0,2.0,5.0,9.0,20.0,,1.0,12.0,13.0,7.0,18.0,14.0,27.0,3.0
2006-01-23,5.0,7.0,36.0,4.0,14.0,8.0,2.0,15.0,8.0,15.0,23.0,2.0,1.0,9.0,10.0,6.0,29.0,21.0,20.0,1.0
2006-01-24,4.0,12.0,48.0,6.0,16.0,4.0,5.0,13.0,9.0,16.0,35.0,4.0,2.0,10.0,6.0,2.0,24.0,21.0,24.0,11.0
2006-01-25,4.0,6.0,52.0,5.0,9.0,9.0,3.0,18.0,9.0,12.0,29.0,7.0,1.0,10.0,6.0,3.0,19.0,27.0,23.0,5.0
2006-01-26,2.0,2.0,45.0,1.0,7.0,4.0,2.0,13.0,7.0,23.0,28.0,,2.0,18.0,2.0,6.0,18.0,16.0,27.0,5.0
2006-01-27,4.0,8.0,29.0,2.0,11.0,4.0,3.0,15.0,9.0,15.0,37.0,1.0,1.0,12.0,4.0,6.0,17.0,19.0,28.0,2.0
2006-01-28,5.0,6.0,67.0,1.0,6.0,5.0,8.0,11.0,10.0,11.0,29.0,,2.0,8.0,4.0,9.0,13.0,14.0,29.0,
2006-01-29,7.0,5.0,90.0,1.0,8.0,8.0,6.0,1.0,13.0,14.0,24.0,1.0,3.0,10.0,7.0,6.0,17.0,19.0,29.0,
2006-01-30,1.0,9.0,38.0,1.0,6.0,6.0,6.0,17.0,12.0,10.0,41.0,4.0,2.0,11.0,3.0,4.0,26.0,20.0,32.0,2.0
