Hour,Aggravated Assault Firearm,Aggravated Assault No Firearm,All Other Offenses,Arson,Burglary Non-Residential,Burglary Residential,DRIVING UNDER THE INFLUENCE,Disorderly Conduct,Embezzlement,Forgery and Counterfeiting,Fraud,Gambling Violations,Homicide - Criminal,Homicide - Gross Negligence,Homicide - Justifiable,Liquor Law Violations,Motor Vehicle Theft,Narcotic / Drug Law Violations,Offenses Against Family and Children,Other Assaults,Other Sex Offenses (Not Commercialized),Prostitution and Commercialized Vice,Public Drunkenness,Rape,Receiving Stolen Property,Recovered Stolen Motor Vehicle,Robbery Firearm,Robbery No Firearm,Theft from Vehicle,Thefts,Vagrancy/Loitering,Vandalism/Criminal Mischief,Weapon Violations,Total events
0,1896.0,3667.0,55389.0,434.0,494.0,3698.0,5013.0,2031.0,42.0,73.0,1099.0,14.0,254.0,0.0,4.0,382.0,1387.0,4518.0,71.0,11060.0,388.0,387.0,353.0,517.0,26.0,2983.0,3195.0,2600.0,3396.0,4768.0,248.0,7644.0,965.0,119042
1,1680.0,3315.0,39364.0,422.0,586.0,2502.0,6471.0,2097.0,31.0,57.0,680.0,7.0,253.0,1.0,5.0,328.0,1158.0,3553.0,60.0,8704.0,287.0,1130.0,468.0,400.0,35.0,2551.0,2562.0,2111.0,2766.0,3494.0,174.0,6062.0,873.0,94198
2,1398.0,3008.0,19736.0,417.0,667.0,1752.0,7143.0,2108.0,13.0,33.0,504.0,5.0,243.0,1.0,1.0,225.0,936.0,2376.0,72.0,7085.0,240.0,281.0,455.0,397.0,16.0,1869.0,2046.0,1900.0,2779.0,2704.0,156.0,5318.0,673.0,66566
3,1078.0,2244.0,10814.0,395.0,723.0,1553.0,5016.0,1076.0,6.0,19.0,400.0,1.0,128.0,0.0,3.0,127.0,797.0,1492.0,48.0,5170.0,168.0,175.0,226.0,371.0,14.0,1634.0,1602.0,1491.0,2298.0,2104.0,117.0,4262.0,451.0,46011
4,626.0,1580.0,5479.0,351.0,737.0,1196.0,2731.0,524.0,17.0,10.0,237.0,0.0,89.0,0.0,0.0,65.0,725.0,802.0,23.0,3601.0,131.0,98.0,111.0,332.0,6.0,1347.0,1203.0,1137.0,1795.0,1484.0,117.0,3066.0,249.0,29887
5,392.0,1086.0,3060.0,310.0,804.0,1047.0,1250.0,261.0,20.0,8.0,237.0,0.0,67.0,0.0,2.0,14.0,873.0,519.0,25.0,2461.0,140.0,50.0,47.0,263.0,9.0,1267.0,909.0,806.0,2404.0,1252.0,106.0,2768.0,141.0,22603
6,267.0,826.0,1998.0,149.0,766.0,893.0,437.0,170.0,22.0,20.0,310.0,0.0,66.0,0.0,1.0,6.0,973.0,384.0,25.0,2041.0,118.0,17.0,22.0,220.0,9.0,1271.0,574.0,683.0,4514.0,1363.0,189.0,3583.0,110.0,22028
7,258.0,1041.0,2795.0,123.0,1318.0,1593.0,274.0,252.0,55.0,60.0,847.0,0.0,56.0,0.0,0.0,4.0,1735.0,537.0,20.0,3222.0,201.0,8.0,20.0,217.0,10.0,2409.0,481.0,791.0,9268.0,3029.0,196.0,6805.0,170.0,37805
8,417.0,1736.0,6507.0,178.0,2934.0,3952.0,358.0,629.0,140.0,121.0,2542.0,11.0,45.0,5.0,0.0,12.0,3412.0,1487.0,56.0,8154.0,515.0,9.0,30.0,367.0,23.0,5389.0,679.0,1246.0,13863.0,7167.0,126.0,12241.0,925.0,75288
9,572.0,2222.0,10808.0,162.0,2623.0,4653.0,507.0,1162.0,240.0,218.0,5565.0,6.0,52.0,1.0,1.0,38.0,3350.0,3282.0,89.0,11971.0,806.0,178.0,36.0,436.0,46.0,6324.0,865.0,1760.0,13017.0,10919.0,179.0,12520.0,1342.0,95971
