Dispatch_Date,Aggravated Assault Firearm,Aggravated Assault No Firearm,All Other Offenses,Burglary Non-Residential,Burglary Residential,DRIVING UNDER THE INFLUENCE,Disorderly Conduct,Fraud,Motor Vehicle Theft,Narcotic / Drug Law Violations,Other Assaults,Other Sex Offenses (Not Commercialized),Recovered Stolen Motor Vehicle,Robbery Firearm,Robbery No Firearm,Theft from Vehicle,Thefts,Vagrancy/Loitering,Vandalism/Criminal Mischief,Weapon Violations
2006-01-01,1.0,7.0,22.0,1.0,7.0,12.0,23.0,1.0,4.0,4.0,16.0,1.0,7.0,1.0,3.0,15.0,16.0,,30.0,2.0
2006-01-02,2.0,3.0,34.0,5.0,5.0,3.0,1.0,2.0,9.0,6.0,20.0,2.0,6.0,,4.0,13.0,19.0,2.0,10.0,1.0
2006-01-03,2.0,1.0,30.0,2.0,10.0,1.0,1.0,5.0,9.0,6.0,13.0,1.0,7.0,3.0,7.0,10.0,27.0,1.0,7.0,1.0
2006-01-04,2.0,3.0,37.0,1.0,10.0,2.0,3.0,10.0,4.0,6.0,22.0,2.0,6.0,4.0,2.0,14.0,24.0,1.0,13.0,1.0
2006-01-05,,,38.0,,4.0,,4.0,3.0,3.0,7.0,14.0,4.0,7.0,3.0,6.0,20.0,17.0,2.0,10.0,3.0
2006-01-06,1.0,3.0,17.0,2.0,3.0,2.0,3.0,6.0,3.0,9.0,14.0,2.0,9.0,2.0,6.0,10.0,30.0,,14.0,1.0
2006-01-07,,4.0,34.0,1.0,4.0,2.0,2.0,4.0,3.0,6.0,8.0,,5.0,2.0,4.0,11.0,12.0,2.0,16.0,
2006-01-08,1.0,,59.0,1.0,1.0,5.0,7.0,,2.0,4.0,10.0,2.0,4.0,3.0,3.0,6.0,12.0,,12.0,
2006-01-09,3.0,3.0,28.0,,5.0,3.0,3.0,9.0,6.0,4.0,15.0,3.0,6.0,4.0,9.0,12.0,22.0,,14.0,2.0
2006-01-10,5.0,2.0,40.0,2.0,9.0,,1.0,5.0,8.0,9.0,13.0,,7.0,3.0,1.0,10.0,16.0,3.0,16.0,
2006-01-11,1.0,1.0,33.0,2.0,5.0,5.0,,11.0,1.0,13.0,13.0,2.0,9.0,1.0,5.0,10.0,18.0,2.0,15.0,2.0
2006-01-12,1.0,,39.0,2.0,6.0,1.0,6.0,8.0,9.0,6.0,15.0,,9.0,2.0,6.0,7.0,21.0,,13.0,3.0
2006-01-13,1.0,2.0,18.0,1.0,4.0,2.0,2.0,6.0,6.0,2.0,20.0,,8.0,6.0,5.0,6.0,13.0,,16.0,2.0
2006-01-14,3.0,8.0,13.0,2.0,4.0,3.0,3.0,5.0,8.0,3.0,11.0,,3.0,4.0,3.0,7.0,13.0,3.0,13.0,2.0
2006-01-15,5.0,4.0,10.0,,3.0,5.0,2.0,,3.0,4.0,10.0,,5.0,4.0,3.0,5.0,15.0,3.0,16.0,
2006-01-16,,2.0,58.0,6.0,3.0,1.0,1.0,4.0,4.0,2.0,9.0,2.0,9.0,1.0,5.0,15.0,19.0,,13.0,
2006-01-17,1.0,,50.0,2.0,4.0,2.0,5.0,9.0,4.0,9.0,7.0,,9.0,3.0,3.0,13.0,21.0,2.0,9.0,2.0
2006-01-18,,6.0,29.0,2.0,6.0,,1.0,3.0,2.0,9.0,18.0,2.0,13.0,2.0,4.0,11.0,10.0,,25.0,1.0
2006-01-19,3.0,5.0,38.0,1.0,2.0,3.0,4.0,8.0,7.0,8.0,20.0,,8.0,2.0,2.0,19.0,16.0,2.0,13.0,1.0
2006-01-20,6.0,4.0,19.0,1.0,1.0,2.0,6.0,9.0,5.0,5.0,14.0,1.0,3.0,3.0,4.0,8.0,15.0,,17.0,3.0
2006-01-21,3.0,7.0,39.0,,4.0,5.0,12.0,5.0,5.0,8.0,16.0,,3.0,1.0,4.0,15.0,17.0,3.0,27.0,
2006-01-22,4.0,2.0,40.0,2.0,1.0,5.0,4.0,2.0,5.0,6.0,11.0,,10.0,7.0,2.0,7.0,13.0,,17.0,1.0
2006-01-23,4.0,2.0,14.0,1.0,8.0,3.0,1.0,7.0,5.0,7.0,14.0,1.0,2.0,6.0,6.0,14.0,21.0,1.0,11.0,
2006-01-24,2.0,4.0,28.0,4.0,7.0,4.0,1.0,6.0,4.0,8.0,14.0,,4.0,4.0,2.0,14.0,20.0,3.0,15.0,5.0
2006-01-25,3.0,1.0,26.0,4.0,6.0,3.0,2.0,9.0,5.0,5.0,12.0,2.0,7.0,5.0,6.0,14.0,17.0,,16.0,
2006-01-26,1.0,2.0,15.0,1.0,2.0,3.0,2.0,9.0,8.0,8.0,11.0,,9.0,2.0,5.0,15.0,17.0,1.0,12.0,1.0
2006-01-27,,6.0,16.0,,5.0,1.0,1.0,8.0,8.0,5.0,14.0,1.0,7.0,6.0,2.0,18.0,17.0,,10.0,
2006-01-28,,6.0,38.0,1.0,5.0,3.0,6.0,6.0,7.0,6.0,11.0,,3.0,2.0,5.0,10.0,15.0,,22.0,2.0
