Date,High Temp.,Low Temp.,Avg Temp.,Temp Departure,HDD,CDD,GDD,Avg Dewpoint,Avg RH,Avg Wind Speed,Avg Wind Dir,Avg Press,Total Precip,Num Observations
2005-01-01,64,39,49,15,16,0,0,37,65,9,183,1028.1,,23
2005-01-02,47,33,41,8,24,0,0,33,73,5,77,1035.2,0.01,24
2005-01-03,56,41,49,16,16,0,0,44,82,4,223,1025.5,0.06,24
2005-01-04,54,45,49,16,16,0,0,46,87,6,127,1021.4,Trace,24
2005-01-05,46,36,40,7,25,0,0,38,91,10,72,1020.3,0.62,24
2005-01-06,41,36,39,6,26,0,0,37,93,8,122,1011.9,0.12,24
2005-01-07,42,37,39,6,26,0,0,27,62,9,257,1024.3,Trace,24
2005-01-08,46,36,40,7,25,0,0,34,78,10,198,1022.4,0.25,24
2005-01-09,39,37,38,6,27,0,0,30,72,5,239,1028.9,,24
2005-01-10,50,37,42,10,23,0,0,33,72,10,257,1021.1,,24
2005-01-11,41,36,39,7,26,0,0,31,74,7,126,1024.5,0.33,24
2005-01-12,46,39,43,11,22,0,0,42,95,7,59,1021.8,Trace,24
2005-01-13,65,43,54,22,11,0,0,51,89,8,118,1018.1,0.06,24
2005-01-14,66,36,47,15,18,0,0,40,75,14,300,1020.5,1.05,24
2005-01-15,35,27,30,-2,35,0,0,14,50,9,128,1039.2,,23
2005-01-16,33,27,29,-3,36,0,0,14,51,11,69,1030.3,,24
2005-01-17,27,17,24,-8,41,0,0,7,49,16,312,1026.5,Trace,24
2005-01-18,19,11,15,-17,50,0,0,-8,35,15,312,1036,,24
2005-01-19,25,11,18,-14,47,0,0,8,64,10,192,1024.9,0.03,24
2005-01-20,32,22,27,-5,38,0,0,14,58,12,284,1015.3,,24
2005-01-21,21,10,16,-16,49,0,0,-4,40,13,308,1023.1,,24
2005-01-22,22,7,15,-17,50,0,0,7,72,9,117,1014.9,0.72,24
2005-01-23,21,10,17,-15,48,0,0,7,64,21,329,1010.1,Trace,24
2005-01-24,23,3,15,-17,50,0,0,4,61,11,269,1018.7,0.01,24
2005-01-25,34,16,27,-5,38,0,0,17,66,9,241,1012.6,Trace,24
2005-01-26,39,24,33,1,32,0,0,25,70,8,270,1007.2,0.01,24
2005-01-27,22,10,16,-16,49,0,0,-2,45,16,349,1030,,24
2005-01-28,25,6,16,-16,49,0,0,-3,43,7,267,1042,,24
2005-01-29,31,10,22,-10,43,0,0,7,54,4,220,1032.9,Trace,24
2005-01-30,35,26,31,-1,34,0,0,20,67,7,128,1020,0.04,24
2005-01-31,36,24,30,-2,35,0,0,16,55,10,74,1027.9,,24
2005-02-01,39,18,29,-3,36,0,0,16,61,2,243,1031.6,,24
2005-02-02,41,17,30,-3,35,0,0,14,53,5,74,1032.7,,24
2005-02-03,39,27,33,0,32,0,0,22,62,7,169,1025.8,Trace,24
2005-02-04,45,32,39,6,26,0,0,28,65,11,237,1023.2,0.01,24
2005-02-05,53,36,43,10,22,0,0,22,43,7,204,1028.5,,24
2005-02-06,51,34,41,8,24,0,0,25,52,7,107,1034,,24
2005-02-07,55,31,41,8,24,0,0,23,53,3,165,1027.6,,24
2005-02-08,53,33,41,8,24,0,0,32,73,4,215,1019,,24
2005-02-09,56,38,47,14,18,0,0,37,69,4,149,1012.3,0.01,24
2005-02-10,45,34,40,6,25,0,0,29,66,16,292,1003.1,0.05,24
2005-02-11,41,29,34,0,31,0,0,10,37,20,302,1008.6,,24
2005-02-12,43,28,36,2,29,0,0,22,55,13,261,1009.7,,24
2005-02-13,44,29,37,3,28,0,0,13,40,8,264,1022.2,,24
2005-02-14,52,36,42,8,23,0,0,35,78,10,137,1022.3,0.97,24
2005-02-15,56,42,48,13,17,0,0,39,70,8,239,1018.1,,24
2005-02-16,60,38,46,11,19,0,0,38,76,9,248,1009.5,0.13,24
2005-02-17,40,30,35,0,30,0,0,20,54,11,295,1012.8,Trace,24
2005-02-18,31,24,27,-8,38,0,0,4,37,16,292,1019.1,,24
2005-02-19,33,18,26,-10,39,0,0,6,43,10,283,1027.6,,24
2005-02-20,39,22,33,-3,32,0,0,20,59,7,186,1029.2,0.09,24
2005-02-21,40,30,35,-1,30,0,0,33,91,7,61,1015.3,0.41,24
2005-02-22,41,34,38,2,27,0,0,30,73,7,285,1018.9,Trace,24
2005-02-23,40,30,37,0,28,0,0,22,57,10,270,1022.6,0.02,24
2005-02-24,32,24,27,-10,38,0,0,18,68,13,55,1022.9,0.09,24
2005-02-25,34,21,28,-9,37,0,0,18,66,9,304,1020.7,Trace,24
2005-02-26,42,22,33,-4,32,0,0,20,63,10,261,1022.1,,24
2005-02-27,36,23,31,-7,34,0,0,10,43,7,267,1025.6,,24
2005-02-28,34,28,31,-7,34,0,0,25,78,12,63,1009.3,0.32,23
2005-03-01,39,28,33,-5,32,0,0,24,72,13,259,997.8,0.04,24
2005-03-02,35,26,31,-8,34,0,0,18,59,20,281,1004.5,Trace,24
2005-03-03,35,23,28,-11,37,0,0,9,44,16,291,1012.3,Trace,24
2005-03-04,35,22,30,-9,35,0,0,11,45,10,267,1015.6,,24
2005-03-05,41,26,34,-6,31,0,0,14,44,6,248,1013.3,,24
2005-03-06,50,27,39,-1,26,0,0,22,52,12,240,1009.7,,24
2005-03-07,68,34,51,11,14,0,0,31,52,9,204,1002,,24
2005-03-08,54,21,36,-5,29,0,0,22,60,20,284,991.9,0.24,24
2005-03-09,32,19,26,-15,39,0,0,2,36,17,281,1010.1,,24
2005-03-10,34,22,28,-13,37,0,0,8,42,9,279,1009.7,,24
2005-03-11,51,30,40,-2,25,0,0,27,59,9,173,1000.7,0.05,24
2005-03-12,46,31,39,-3,26,0,0,23,53,14,271,999.3,0.03,24
