Dispatch_Date,Aggravated Assault Firearm,Aggravated Assault No Firearm,All Other Offenses,Burglary Non-Residential,Burglary Residential,DRIVING UNDER THE INFLUENCE,Disorderly Conduct,Fraud,Motor Vehicle Theft,Narcotic / Drug Law Violations,Other Assaults,Other Sex Offenses (Not Commercialized),Prostitution and Commercialized Vice,Recovered Stolen Motor Vehicle,Robbery Firearm,Robbery No Firearm,Theft from Vehicle,Thefts,Vandalism/Criminal Mischief,Weapon Violations
2006-01-01,10.0,29.0,75.0,3.0,15.0,20.0,8.0,2.0,16.0,11.0,54.0,1.0,,16.0,10.0,8.0,22.0,37.0,68.0,7.0
2006-01-02,6.0,8.0,118.0,6.0,21.0,9.0,2.0,6.0,14.0,26.0,48.0,2.0,,35.0,15.0,7.0,29.0,23.0,46.0,2.0
2006-01-03,5.0,8.0,99.0,10.0,19.0,5.0,6.0,24.0,28.0,34.0,60.0,5.0,,28.0,25.0,12.0,22.0,31.0,41.0,5.0
2006-01-04,3.0,12.0,101.0,6.0,15.0,7.0,10.0,25.0,17.0,51.0,69.0,4.0,5.0,30.0,9.0,11.0,32.0,58.0,39.0,8.0
2006-01-05,5.0,8.0,97.0,,11.0,8.0,9.0,18.0,9.0,44.0,61.0,7.0,4.0,33.0,6.0,7.0,20.0,35.0,38.0,4.0
2006-01-06,7.0,6.0,87.0,5.0,13.0,9.0,9.0,26.0,15.0,26.0,63.0,3.0,3.0,30.0,8.0,14.0,26.0,33.0,49.0,6.0
2006-01-07,8.0,15.0,120.0,3.0,11.0,17.0,6.0,19.0,8.0,30.0,53.0,4.0,,25.0,15.0,12.0,34.0,44.0,38.0,6.0
2006-01-08,5.0,8.0,153.0,4.0,19.0,15.0,5.0,7.0,12.0,18.0,61.0,,,28.0,17.0,7.0,40.0,26.0,61.0,4.0
2006-01-09,7.0,13.0,93.0,8.0,22.0,6.0,6.0,28.0,22.0,23.0,57.0,2.0,,39.0,15.0,18.0,41.0,34.0,54.0,12.0
2006-01-10,10.0,12.0,83.0,24.0,16.0,12.0,5.0,26.0,14.0,47.0,50.0,3.0,8.0,19.0,8.0,6.0,37.0,33.0,34.0,9.0
2006-01-11,6.0,4.0,115.0,6.0,15.0,6.0,9.0,21.0,15.0,34.0,67.0,2.0,8.0,29.0,5.0,16.0,46.0,44.0,35.0,7.0
2006-01-12,7.0,9.0,123.0,4.0,26.0,14.0,14.0,26.0,11.0,51.0,53.0,5.0,,44.0,11.0,12.0,36.0,43.0,31.0,5.0
2006-01-13,4.0,18.0,54.0,6.0,23.0,9.0,13.0,24.0,12.0,32.0,74.0,9.0,7.0,37.0,6.0,10.0,26.0,36.0,51.0,5.0
2006-01-14,7.0,15.0,121.0,7.0,17.0,12.0,12.0,18.0,23.0,21.0,41.0,1.0,,13.0,12.0,13.0,29.0,25.0,43.0,6.0
2006-01-15,7.0,13.0,113.0,5.0,11.0,11.0,8.0,6.0,15.0,12.0,43.0,,,22.0,12.0,8.0,20.0,18.0,47.0,1.0
2006-01-16,11.0,8.0,165.0,9.0,15.0,8.0,5.0,13.0,19.0,20.0,39.0,6.0,,23.0,13.0,12.0,39.0,43.0,47.0,2.0
2006-01-17,11.0,9.0,125.0,7.0,15.0,5.0,3.0,23.0,8.0,50.0,39.0,3.0,3.0,35.0,6.0,8.0,31.0,31.0,41.0,2.0
2006-01-18,8.0,8.0,106.0,9.0,24.0,4.0,10.0,24.0,18.0,41.0,51.0,5.0,6.0,16.0,8.0,8.0,33.0,33.0,54.0,10.0
2006-01-19,3.0,11.0,125.0,7.0,18.0,12.0,7.0,21.0,12.0,35.0,59.0,6.0,8.0,24.0,7.0,10.0,25.0,31.0,33.0,12.0
2006-01-20,9.0,9.0,98.0,4.0,16.0,24.0,11.0,23.0,17.0,45.0,62.0,5.0,5.0,19.0,11.0,10.0,42.0,37.0,55.0,8.0
2006-01-21,3.0,14.0,97.0,5.0,18.0,19.0,8.0,20.0,18.0,30.0,51.0,1.0,2.0,17.0,12.0,6.0,37.0,31.0,56.0,2.0
2006-01-22,9.0,14.0,145.0,2.0,13.0,17.0,10.0,6.0,19.0,15.0,48.0,5.0,,14.0,16.0,16.0,36.0,25.0,63.0,8.0
2006-01-23,8.0,13.0,95.0,11.0,21.0,13.0,6.0,24.0,15.0,21.0,52.0,7.0,,21.0,14.0,6.0,44.0,40.0,44.0,3.0
2006-01-24,15.0,16.0,78.0,7.0,23.0,6.0,13.0,18.0,12.0,48.0,68.0,6.0,5.0,32.0,9.0,14.0,38.0,38.0,46.0,13.0
2006-01-25,3.0,12.0,87.0,4.0,18.0,9.0,8.0,25.0,17.0,45.0,58.0,7.0,1.0,19.0,8.0,9.0,29.0,46.0,33.0,9.0
2006-01-26,4.0,13.0,87.0,1.0,14.0,6.0,3.0,21.0,16.0,46.0,60.0,5.0,9.0,28.0,4.0,5.0,23.0,29.0,38.0,8.0
2006-01-27,8.0,16.0,56.0,3.0,17.0,13.0,10.0,21.0,6.0,31.0,64.0,3.0,4.0,27.0,12.0,14.0,28.0,25.0,47.0,3.0
2006-01-28,10.0,7.0,131.0,4.0,8.0,12.0,11.0,22.0,13.0,24.0,53.0,1.0,4.0,15.0,4.0,13.0,28.0,33.0,57.0,2.0
2006-01-29,11.0,11.0,155.0,3.0,10.0,16.0,10.0,6.0,22.0,25.0,48.0,3.0,,16.0,9.0,17.0,36.0,27.0,48.0,1.0
2006-01-30,3.0,18.0,105.0,14.0,11.0,9.0,7.0,31.0,22.0,25.0,59.0,7.0,,20.0,8.0,10.0,44.0,35.0,48.0,4.0
2006-01-31,1.0,10.0,92.0,10.0,20.0,4.0,14.0,32.0,25.0,45.0,61.0,3.0,2.0,33.0,7.0,9.0,38.0,30.0,47.0,2.0
2006-02-01,2.0,12.0,145.0,4.0,14.0,8.0,10.0,22.0,12.0,52.0,77.0,8.0,3.0,29.0,7.0,12.0,41.0,34.0,41.0,4.0
2006-02-02,6.0,11.0,165.0,2.0,15.0,7.0,6.0,30.0,27.0,49.0,49.0,7.0,2.0,12.0,11.0,7.0,36.0,35.0,33.0,7.0
2006-02-03,4.0,15.0,119.0,5.0,11.0,16.0,2.0,20.0,17.0,21.0,47.0,10.0,2.0,19.0,12.0,12.0,33.0,37.0,54.0,5.0
2006-02-04,13.0,15.0,107.0,4.0,13.0,21.0,14.0,11.0,14.0,25.0,51.0,,,11.0,5.0,9.0,34.0,33.0,55.0,3.0
2006-02-05,8.0,15.0,152.0,5.0,10.0,15.0,5.0,7.0,15.0,22.0,47.0,1.0,,12.0,11.0,8.0,43.0,31.0,43.0,1.0
